sample code	particle size freq (%)								
	8	4	2	1	0.5	0.25	0.125	0.063	pan
21PXN011B	0	0.048032107	0.09464104	0.273605112	0.437981655	2.501939074	13.6695818	23.62041115	59.35380806
21PXN012B	0.66283071	2.187811436	4.074763543	5.516694559	8.514632419	11.27971769	7.63524567	10.14867465	49.97962932
21PXN013B	0.263648055	4.522227997	4.511226855	5.626135678	8.94089352	13.92023793	10.47498378	8.661312778	43.07933341
21PXN014B	4.336644784	9.696934487	7.542748698	7.626793702	11.44096516	12.36739674	10.23954763	8.319293557	28.42967525
21PXN015B	0	0	0.014459175	0.305708276	6.764484134	9.559236142	6.577203389	12.00008262	64.77882626
21PXN016B	0.357030721	0.629254508	1.88549769	5.464544551	4.745304059	8.788199536	11.65577448	6.23104387	60.24335059
21PXN017B	0.966623981	0.558690925	1.914802294	3.108095165	6.439311977	10.47430199	7.019995814	5.887006091	63.63117176
21PXN018B	11.73174209	17.31070733	12.73482638	9.363831308	14.69952887	23.33000288	8.273075875	1.702873797	0.853411474
21PXN019B	0.241240449	1.630974643	1.719271801	2.079713413	4.294395338	9.676422451	9.383465096	7.991208126	62.98330868
21PXN020B	1.093458715	4.944650664	3.615936649	3.527179741	12.76647694	64.66056257	5.864884929	1.306607275	2.220242514
21PXN021B	0.498821445	2.587565871	3.218130227	3.889981533	9.276052067	20.32931974	14.79874488	9.286186137	36.1151981
21PXN022B	1.137564179	3.466525803	3.19231261	3.844368031	6.355016924	12.98357413	10.89787157	8.715942048	49.40682471
21PXN023B	1.158934481	3.030812005	3.669423142	4.673261241	6.511189096	10.75096667	10.21384718	10.43862972	49.55293647
21PXN024B	8.093483065	11.83678314	8.18137203	7.478581074	19.27526888	32.36013947	6.669617683	3.055905721	3.048848943
21PXN033B	2.665530004	4.708568438	2.997666184	4.657925056	9.911753907	20.27803217	15.71337534	9.616756207	29.4503927
21PXN034B	1.925866402	3.14485539	3.053941965	4.933840905	9.051163488	17.45742051	13.65608167	10.61031169	36.16651798
21PXN035B	1.085419003	3.135194719	3.30245183	5.194527985	9.275920073	23.93178459	16.73335712	11.00870374	26.33264094
21PXN036B	3.266459936	2.423889393	3.242131954	3.693056246	7.758570474	20.31557847	17.92149943	12.28905755	29.08975655
21PXN037B	1.642460244	4.086787841	2.998564668	3.813932667	7.774951327	13.50348885	11.51320932	10.25871502	44.40789006
21PXN038B	6.565337851	2.104755188	3.529185466	3.508600238	7.298644412	15.26614	13.77691687	10.71646717	37.2339528
21PXN039B	4.700087688	4.584413888	4.986287058	4.14224146	6.726618034	11.09871453	10.57221217	10.79385809	42.39556708
21PXN040B	2.197074739	3.980160129	3.868182103	4.126390257	7.26902062	11.37169788	10.97483459	8.341374893	47.87126479
21PXN041B	0	3.02826488	3.832150596	3.469677076	3.876855663	10.75499207	44.11906852	21.66947248	9.249518716
21PXN042B	2.35857237	2.471991953	3.487912317	3.696368492	4.382435573	5.746939059	6.527349034	5.130588603	66.1978426
21PXN043B	9.050235317	13.2124558	10.67761384	11.00832209	15.28489413	18.07283812	3.258284609	1.014171951	18.42118414
21PXN044B	2.48437717	4.027218442	3.548118317	3.826899042	4.59588946	8.463755034	9.004304958	6.38314123	57.66629635
21PXN045B	9.785521494	12.03518129	6.398002876	2.686530673	17.90141131	35.09668744	10.92531052	3.563489434	1.607864963
21PXN046B	0	0	0.007677463	22.9413058	35.64471494	17.25893639	9.400355257	8.870610323	5.876399828
21PXN047B	3.745497603	6.698644318	10.60190306	23.98855611	34.67235316	10.47533963	4.163121473	4.398876882	1.255707763
21PXN048B	6.525969213	6.09201891	6.243396923	6.283449022	6.896845345	9.26275754	7.322280636	6.121663771	45.25161864
21PXN074B	3.493196795	12.81248786	12.66037052	11.78585762	17.6948073	27.30862344	9.197597193	2.802195668	2.244863612
21PXN075B	8.731326613	14.27457015	15.25500055	13.95296062	19.16608455	9.819551165	3.570326822	2.939872845	12.29030668
21PXN076B	2.906792528	5.147204436	6.597795234	11.1921579	10.38550399	8.682091227	7.826919269	7.948709486	39.31282593
21PXN077B	14.40110361	13.57570215	10.88699916	9.301905571	9.750342957	8.35776619	5.234075093	4.408289367	24.08381591
21PXN078B	0.339299082	2.155017052	2.123478526	4.194277317	8.093964011	13.56017967	16.15361688	16.71923088	36.66093659
21PXN079B	3.582233511	4.378285402	4.18731011	4.99975887	5.917340492	8.993200122	12.06873824	13.00786085	42.8652724
21PXN080B	6.668968986	8.538727768	9.480176278	9.695643361	11.53424575	10.30788519	8.991809248	8.683623751	26.09891966
21WL01B	2.023355265	1.979470772	2.662014703	6.172774185	16.46477725	19.50058824	12.23319162	7.277667461	31.68616051
21WL02B	2.947641697	2.796043281	3.814595137	4.549531624	10.17730698	19.06981739	12.35874502	8.696695786	35.58962309
21WL03B	4.534889062	4.331848041	3.863904329	4.223743243	8.43829911	16.12353959	12.09364999	9.838761542	36.55136509
21WL04B	3.029202642	4.376343493	3.906546359	3.518453074	5.583744825	10.76513061	9.894919771	8.189838246	50.73582098
