Sample,Latitude,Longitude,Mn,Fe,Ca,Cr,Mg,Ti,Al,Na,K
1,.,.,0.0132,1.35,0.54,0.0021,0.31,0.248,5.01,0.813,4.85
2,.,.,0.0144,1.79,1.9,0.0033,0.98,0.192,5.32,0.679,3.79
3,.,.,0.0465,1.93,15.92,0.0032,7.59,0.152,3.12,0.064,0.93
4,.,.,0.015,0.8,14.92,0.002,7.68,0.079,1.53,0.04,0.5
5,.,.,0.0232,1.77,11.42,0.0034,9.95,0.168,3.1,0.086,0.8
6,.,.,0.0115,0.88,12.91,0.0018,7.05,0.066,1.28,0.047,0.3
7,.,.,0.0305,2.79,7.14,0.0048,4.2,0.272,5.55,0.652,2.45
8,.,.,0.0288,2.51,9.06,0.004,4.69,0.239,4.9,0.503,2.72
9,.,.,0.0595,3.52,9.25,0.0056,4.63,0.215,4.82,0.964,1.65
10,.,.,0.0282,2.69,7.78,0.0042,3.92,0.28,5.51,0.53,2.77
11,.,.,0.0286,2.94,4.12,0.0043,2.73,0.284,6.03,0.805,3.36
12,.,.,0.0422,3.13,8.05,0.0041,5.67,0.218,4.58,0.751,2.17
13,.,.,0.0295,2.55,8.09,0.0048,4.77,0.283,5.4,0.472,2.84
14,.,.,0.0323,2.54,8.07,0.0042,4.48,0.247,5,0.532,2.62
15,.,.,0.0404,5.73,1.06,0.0081,1.23,0.415,6.06,1.057,2.56
16,.,.,0.0247,3.06,5.23,0.0064,0.81,0.245,4.91,0.857,1.59
17,.,.,0.0395,2.62,6.28,0.0046,3.11,0.293,6.1,0.826,3.07
18,.,.,0.0408,2.78,5.82,0.004,3.22,0.291,6.46,0.731,3.63
19,.,.,0.034,2.41,8.06,0.0039,3.88,0.235,5.46,0.543,3.13
20,.,.,0.03,3.11,6.38,0.0061,3.06,0.284,5.75,0.481,2.34
21,.,.,0.0401,3.17,7.4,0.0088,2.67,0.278,5.6,1.342,1.12
22,.,.,0.0343,2.66,10.34,0.0055,2.81,0.23,5.28,0.927,2.19
23,.,.,0.0282,2.28,9.05,0.0051,2.78,0.225,4.88,0.652,2.17
24,.,.,0.0312,2.4,12.7,0.0058,2.01,0.219,5.07,0.422,1.86
25,.,.,0.022,2.57,8.18,0.0044,5.75,0.214,4.4,0.424,1.5
26,.,.,0.0269,3.42,3.65,0.0079,0.86,0.294,5.89,0.576,1.39
27,.,.,0.0218,2.01,18.68,0.005,0.77,0.141,3.27,0.253,0.74
28,.,.,0.0191,2.54,3.64,0.0052,1.45,0.184,4.09,0.396,1.3
29,.,.,0.0593,2.02,11.1,0.0046,1.73,0.222,3.8,0.62,1.19
30,.,.,0.0174,1.44,14.33,0.0035,7.67,0.114,2.48,0.337,0.62
31,.,.,0.0205,2.12,0.53,0.0046,0.44,0.281,5.28,0.756,4.52
32,.,.,0.034,2.19,10.14,0.0046,6.83,0.204,4.33,0.106,2.4
33,.,.,0.0116,0.84,16.92,0.0013,1.92,0.107,2.12,0.174,1.19
34,.,.,0.0192,2.1,13.42,0.0053,0.64,0.165,4.12,0.191,1.06
35,.,.,0.0086,0.53,18.64,0.0011,3.5,0.069,1.42,0.114,0.73
